epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,809.536,0.51597,0.29603,0.92895,0.99634,1,0.995,0.93266,0.41906,0.24749,0.90198,0.000484263,0.000484263,0.000484263
45,827.66,0.49837,0.28082,0.91968,0.99721,1,0.995,0.92448,0.42878,0.2406,0.9008,0.000456758,0.000456758,0.000456758
46,844.201,0.47284,0.2725,0.91734,0.99793,1,0.995,0.91722,0.42158,0.22722,0.90664,0.000429253,0.000429253,0.000429253
47,860.348,0.49534,0.27219,0.95122,0.99371,1,0.995,0.92159,0.39098,0.22479,0.88935,0.000401747,0.000401747,0.000401747
48,876.413,0.50768,0.27938,0.92579,0.99419,1,0.995,0.9193,0.43186,0.2374,0.89789,0.000374242,0.000374242,0.000374242
49,894.517,0.50882,0.2681,0.94624,0.99484,1,0.995,0.92772,0.40691,0.21958,0.89968,0.000346736,0.000346736,0.000346736
50,913.014,0.50008,0.27334,0.94594,0.99443,1,0.995,0.91386,0.40171,0.21327,0.89573,0.000319231,0.000319231,0.000319231
51,946.991,0.42123,0.27771,0.89923,0.99345,1,0.995,0.91826,0.42284,0.20904,0.90188,0.000291725,0.000291725,0.000291725
52,967.952,0.42783,0.25767,0.91704,0.99459,1,0.995,0.92324,0.40862,0.20161,0.89092,0.00026422,0.00026422,0.00026422
53,985.272,0.43057,0.24215,0.9053,0.99437,1,0.995,0.91919,0.40214,0.20114,0.89109,0.000236714,0.000236714,0.000236714
54,1002.86,0.41246,0.24942,0.88082,0.99421,1,0.995,0.926,0.40489,0.20079,0.89475,0.000209209,0.000209209,0.000209209
55,1020.15,0.41549,0.2357,0.89313,0.99372,1,0.995,0.92058,0.4109,0.22127,0.90245,0.000181703,0.000181703,0.000181703
56,1039.29,0.41485,0.24597,0.90638,0.99473,1,0.995,0.92139,0.39677,0.20542,0.89289,0.000154198,0.000154198,0.000154198
57,1056.97,0.42433,0.24624,0.904,0.9948,1,0.995,0.92136,0.39491,0.20675,0.88991,0.000126692,0.000126692,0.000126692
58,1076.11,0.42958,0.23539,0.93692,0.99431,1,0.995,0.93082,0.39575,0.20075,0.89172,9.91865e-05,9.91865e-05,9.91865e-05
59,1094.54,0.40295,0.22597,0.89978,0.99446,1,0.995,0.92557,0.39778,0.1908,0.89302,7.1681e-05,7.1681e-05,7.1681e-05
60,1113.44,0.40214,0.22531,0.88201,0.99489,1,0.995,0.92513,0.39809,0.19347,0.89293,4.41755e-05,4.41755e-05,4.41755e-05
